PlateID,MeasID,WellID,Row,Col,filename
G7556937,Meas_01,A05,1,5,C:\Users\gbonamy\ScreenData\osharif\ScratchAssay\20091208 - Images\G7556937\Meas_01\001005000
G7556939,Meas_01,A05,1,5,C:\Users\gbonamy\ScreenData\osharif\ScratchAssay\20091208 - Images\G7556939\Meas_01\001005000
G7556937,Meas_01,A05,1,5,C:\Users\gbonamy\ScreenData\osharif\ScratchAssay\20091208 - Images\G7556937\Meas_01\001005000
G7556939,Meas_01,A05,1,5,C:\Users\gbonamy\ScreenData\osharif\ScratchAssay\20091208 - Images\G7556939\Meas_01\001005000
G7556937,Meas_01,A05,1,5,C:\Users\gbonamy\ScreenData\osharif\ScratchAssay\20091208 - Images\G7556937\Meas_01\001005000,
G7556939,Meas_01,A05,1,5,C:\Users\gbonamy\ScreenData\osharif\ScratchAssay\20091208 - Images\G7556939\Meas_01\001005000,
