PlateID,MeasID,WellID,Path,Errors
G7556937,Meas_01,A05,C:\Users\gbonamy\Eclipse\Acapella\AcapellaScheduler\Results.csv\001005000,output(25) - Explicit argument "item=objects": Data item not found in the current datablock: objects; 
G7556939,Meas_01,A05,C:\Users\gbonamy\Eclipse\Acapella\AcapellaScheduler\Results.csv\001005000,output(25) - Explicit argument "item=objects": Data item not found in the current datablock: objects; 
G7556937,Meas_01,A05,C:\Users\gbonamy\Eclipse\Acapella\AcapellaScheduler\Results.csv\001005000,output(25) - Explicit argument "item=objects": Data item not found in the current datablock: objects; 
G7556939,Meas_01,A05,C:\Users\gbonamy\Eclipse\Acapella\AcapellaScheduler\Results.csv\001005000,output(25) - Explicit argument "item=objects": Data item not found in the current datablock: objects; 
G7556937,Meas_01,A05,C:\Users\gbonamy\Eclipse\Acapella\AcapellaScheduler\Results.csv\001005000,output(25) - Explicit argument "item=objects": Data item not found in the current datablock: objects; 
G7556939,Meas_01,A05,C:\Users\gbonamy\Eclipse\Acapella\AcapellaScheduler\Results.csv\001005000,output(25) - Explicit argument "item=objects": Data item not found in the current datablock: objects; 
